2022-04-02 00:05:08,347 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.mapper.TodoTaskMappperTest], using SpringBootContextLoader
2022-04-02 00:05:08,364 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.mapper.TodoTaskMappperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 00:05:08,366 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.mapper.TodoTaskMappperTest]: TodoTaskMappperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:08,571 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.mapper.TodoTaskMappperTest
2022-04-02 00:05:08,751 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 00:05:08,776 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5b64c4b7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4763c727, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@72445aba, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@61bcd567, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c80e49b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@458342d3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15c25153, org.springframework.test.context.event.EventPublishingTestExecutionListener@1252b961, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@9ed238c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@56276db8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@51e8e6e6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@56f6d40b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@36676c1a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5b408dc3]
2022-04-02 00:05:08,804 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportSimilarityServiceTest], using SpringBootContextLoader
2022-04-02 00:05:08,807 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportSimilarityServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 00:05:08,807 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportSimilarityServiceTest]: ReportSimilarityServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:08,837 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportSimilarityServiceTest
2022-04-02 00:05:08,844 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 00:05:08,845 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3ce3db41, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@64df9a61, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@77602954, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e260766, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2c3dec30, org.springframework.test.context.transaction.TransactionalTestExecutionListener@34a97744, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4275c20c, org.springframework.test.context.event.EventPublishingTestExecutionListener@7c56e013, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3fc9dfc5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@40258c2f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2cac4385, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6731787b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@16f7b4af, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7adf16aa]
2022-04-02 00:05:08,852 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.task.TaskServiceTest], using SpringBootContextLoader
2022-04-02 00:05:08,856 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.task.TaskServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 00:05:08,856 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.task.TaskServiceTest]: TaskServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:08,882 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.task.TaskServiceTest
2022-04-02 00:05:08,886 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 00:05:08,887 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4ba534b0, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6f0ca692, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2c104774, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2cb3d0f7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4e517165, org.springframework.test.context.transaction.TransactionalTestExecutionListener@44e3760b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6a66a204, org.springframework.test.context.event.EventPublishingTestExecutionListener@5860f3d7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1d7f7be7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@42f3156d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1ddae9b5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@427b5f92, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24bdb479, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7e3f95fe]
2022-04-02 00:05:08,895 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.task.TodoTaskServiceTest], using SpringBootContextLoader
2022-04-02 00:05:08,899 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.task.TodoTaskServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 00:05:08,899 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.task.TodoTaskServiceTest]: TodoTaskServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:08,904 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.task.TodoTaskServiceTest
2022-04-02 00:05:08,908 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-04-02 00:05:08,909 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@65aa6596, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@67389cb8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@419a20a6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@533377b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3383649e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@10fde30a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@f27ea3, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ce61929, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@346939bf, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4bf3798b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@58670130, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@74e47444, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@9bd0fa6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@59d2103b]
2022-04-02 00:05:08,917 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportServiceTest], using SpringBootContextLoader
2022-04-02 00:05:08,921 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-04-02 00:05:08,922 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportServiceTest]: ReportServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-04-02 00:05:08,928 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportServiceTest
