2022-05-03 17:12:15,523 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.recommend.RecommendServiceTest], using SpringBootContextLoader
2022-05-03 17:12:15,535 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.recommend.RecommendServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:15,536 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.recommend.RecommendServiceTest]: RecommendServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:15,961 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.recommend.RecommendServiceTest
2022-05-03 17:12:16,579 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:16,750 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4f5991f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@484094a5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@38234a38, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63fbfaeb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@602e0143, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2c07545f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@e57b96d, org.springframework.test.context.event.EventPublishingTestExecutionListener@32c726ee, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@22f31dec, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@34c01041, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@76f4b65, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@c94fd30, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@36328d33, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2c4d1ac]
2022-05-03 17:12:18,893 [main] INFO  c.w.c.s.r.RecommendServiceTest [Line:55 ] - Starting RecommendServiceTest using Java 13.0.2 on lym-MacBook-Pro.local with PID 58706 (started by macbookair in /Users/macbookair/backend-sec)
2022-05-03 17:12:18,921 [main] INFO  c.w.c.s.r.RecommendServiceTest [Line:664] - The following profiles are active: dev
2022-05-03 17:12:23,668 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog [Line:212] - MLog clients using slf4j logging.
2022-05-03 17:12:23,948 [main] INFO  com.mchange.v2.c3p0.C3P0Registry [Line:212] - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2022-05-03 17:12:25,812 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [Line:181] - Initializing ExecutorService 'taskExecutor'
2022-05-03 17:12:29,143 [main] INFO  c.w.c.s.r.RecommendServiceTest [Line:61 ] - Started RecommendServiceTest in 12.121 seconds (JVM running for 16.915)
