2022-05-19 20:54:02,176 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportServiceTest], using SpringBootContextLoader
2022-05-19 20:54:02,210 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-19 20:54:02,212 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportServiceTest]: ReportServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-19 20:54:02,683 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportServiceTest
2022-05-19 20:54:02,907 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-19 20:54:02,939 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6138e79a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2dcd168a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@388526fb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@21a21c64, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7803bfd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@42bc14c1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@531f4093, org.springframework.test.context.event.EventPublishingTestExecutionListener@62ef27a8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6436a7db, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@460ebd80, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f3c660a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@74f5ce22, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@25aca718, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@16fdec90]
2022-05-19 20:54:03,586 [main] INFO  c.w.c.s.report.ReportServiceTest [Line:55 ] - Starting ReportServiceTest using Java 13.0.1 on LAPTOP-J55HQ3VK with PID 13180 (started by Raquel in D:\OneDrive\大三下\软工三\小组大作业\迭代三\backend-sec)
2022-05-19 20:54:03,587 [main] INFO  c.w.c.s.report.ReportServiceTest [Line:664] - The following profiles are active: dev
2022-05-19 20:54:05,378 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog [Line:212] - MLog clients using slf4j logging.
2022-05-19 20:54:05,889 [main] INFO  com.mchange.v2.c3p0.C3P0Registry [Line:212] - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2022-05-19 20:54:06,899 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [Line:181] - Initializing ExecutorService 'taskExecutor'
