2022-05-26 00:11:37,648 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportClusterServiceTest], using SpringBootContextLoader
2022-05-26 00:11:37,740 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportClusterServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-26 00:11:37,741 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportClusterServiceTest]: ReportClusterServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-26 00:11:38,065 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportClusterServiceTest
2022-05-26 00:11:38,257 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-26 00:11:38,275 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@27305e6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1ef3efa8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@502f1f4c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f8f9349, org.springframework.test.context.support.DirtiesContextTestExecutionListener@75c9e76b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7446d8d5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5c3b6c6e, org.springframework.test.context.event.EventPublishingTestExecutionListener@4fbda97b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@75f5fd58, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@37b70343, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@306851c7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@12bcd0c0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4879f0f2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@47db5fa5]
2022-05-26 00:11:39,578 [main] INFO  c.w.c.s.r.ReportClusterServiceTest [Line:55 ] - Starting ReportClusterServiceTest using Java 11.0.1 on lym-MacBook-Pro.local with PID 43486 (started by macbookair in /Users/macbookair/backend-sec)
2022-05-26 00:11:39,592 [main] INFO  c.w.c.s.r.ReportClusterServiceTest [Line:664] - The following profiles are active: dev
2022-05-26 00:11:43,036 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog [Line:212] - MLog clients using slf4j logging.
2022-05-26 00:11:43,412 [main] INFO  com.mchange.v2.c3p0.C3P0Registry [Line:212] - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2022-05-26 00:11:45,360 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [Line:181] - Initializing ExecutorService 'taskExecutor'
